--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
cropped_images/crop_meme_0_pt_58.jpg	campus                   	0.9999
cropped_images/crop_meme_0_pt_59.jpg	accompany                	0.9997
cropped_images/crop_meme_0_pt_60.jpg	benefit                  	0.9988
cropped_images/crop_meme_0_pt_61.jpg	we                       	0.9999
cropped_images/crop_meme_0_pt_62.jpg	love                     	0.9997
cropped_images/crop_meme_0_pt_63.jpg	during                   	1.0000
cropped_images/crop_meme_0_pt_64.jpg	of                       	1.0000
cropped_images/crop_meme_0_pt_65.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_66.jpg	a                        	1.0000
cropped_images/crop_meme_0_pt_67.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_68.jpg	parent                   	1.0000
cropped_images/crop_meme_0_pt_69.jpg	school                   	0.9997
cropped_images/crop_meme_0_pt_70.jpg	younger                  	1.0000
cropped_images/crop_meme_0_pt_71.jpg	students                 	0.9998
cropped_images/crop_meme_0_pt_72.jpg	volunteer,               	0.9589
cropped_images/crop_meme_0_pt_73.jpg	hours.                   	0.9941
cropped_images/crop_meme_0_pt_74.jpg	children,                	0.9996
cropped_images/crop_meme_0_pt_75.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_76.jpg	staff.                   	0.7211
cropped_images/crop_meme_0_pt_77.jpg	There                    	1.0000
cropped_images/crop_meme_0_pt_78.jpg	but                      	0.9999
cropped_images/crop_meme_0_pt_79.jpg	it                       	0.9998
cropped_images/crop_meme_0_pt_80.jpg	can                      	0.9996
cropped_images/crop_meme_0_pt_81.jpg	otherwise                	0.9997
cropped_images/crop_meme_0_pt_82.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_83.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_84.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_85.jpg	disruptive               	0.9998
cropped_images/crop_meme_0_pt_86.jpg	special                  	0.9998
cropped_images/crop_meme_0_pt_87.jpg	we                       	0.9999
cropped_images/crop_meme_0_pt_88.jpg	ask                      	1.0000
cropped_images/crop_meme_0_pt_89.jpg	times                    	1.0000
cropped_images/crop_meme_0_pt_90.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_91.jpg	that                     	1.0000
